Classroom_ID,student_ID,studentgender,grade,course,Year,teststarttime,testdurationminutes,test_percentile,growth_percentile
Classroom3,a386589003fd46f888b0dfd3b4f74df7,F,3,Math K-12,Year2,0.907303241,70,35,
Classroom3,a386589003fd46f888b0dfd3b4f74df7,F,3,Reading,Year2,0.903703704,64,54,
Classroom3,48d08958db1c4be29e146bd2085514e8,F,3,Language Usage,Year2,0.90505787,26,78,
Classroom3,48d08958db1c4be29e146bd2085514e8,F,3,Math K-12,Year2,0.90712963,33,66,
Classroom3,48d08958db1c4be29e146bd2085514e8,F,3,Reading,Year2,0.90375,42,84,
Classroom3,e0e2d46bbac5474aa0e9518589634e33,M,3,Language Usage,Year2,0.905138889,56,77,
Classroom3,e0e2d46bbac5474aa0e9518589634e33,M,3,Math K-12,Year2,0.910856481,96,71,
Classroom3,e0e2d46bbac5474aa0e9518589634e33,M,3,Reading,Year2,0.90375,111,75,
Classroom3,12368cd38ddd437ab046e2ce23f205a8,M,3,Language Usage,Year2,21:43:26,26,83,
Classroom3,12368cd38ddd437ab046e2ce23f205a8,M,3,Math K-12,Year2,21:51:46,27,72,
Classroom3,12368cd38ddd437ab046e2ce23f205a8,M,3,Reading,Year2,21:41:26,32,71,
Classroom3,ec2bea74de784b05b7d3a57647a8670c,F,3,Language Usage,Year2,21:43:23,79,66,
Classroom3,ec2bea74de784b05b7d3a57647a8670c,F,3,Math K-12,Year2,21:46:26,60,73,
Classroom3,ec2bea74de784b05b7d3a57647a8670c,F,3,Reading,Year2,21:41:25,93,47,
Classroom14,d2811bfb63e94f6c982e65259ea8e728,F,3,Language Usage,Year2,0.05087963,31,62,
Classroom14,d2811bfb63e94f6c982e65259ea8e728,F,3,Math K-12,Year2,0.906261574,45,76,
Classroom14,d2811bfb63e94f6c982e65259ea8e728,F,3,Reading,Year2,0.035462963,43,59,
Classroom14,3d4cf573a6ea40bfa2135b5ff29ed076,M,3,Language Usage,Year2,0.05224537,16,67,
Classroom14,3d4cf573a6ea40bfa2135b5ff29ed076,M,3,Math K-12,Year2,0.906168981,17,82,
Classroom14,3d4cf573a6ea40bfa2135b5ff29ed076,M,3,Reading,Year2,0.03568287,27,81,
Classroom14,d1fcf44d2367499f98d541e04f6ab4c7,M,3,Language Usage,Year2,0.050810185,24,93,
Classroom14,d1fcf44d2367499f98d541e04f6ab4c7,M,3,Math K-12,Year2,0.90619213,22,76,
Classroom14,d1fcf44d2367499f98d541e04f6ab4c7,M,3,Reading,Year2,0.036481481,37,93,
Classroom14,26d08a90f6c7420f97fd94d3a49b0f40,F,3,Language Usage,Year2,0.051122685,37,92,
Classroom14,26d08a90f6c7420f97fd94d3a49b0f40,F,3,Math K-12,Year2,0.906180556,52,86,
Classroom14,26d08a90f6c7420f97fd94d3a49b0f40,F,3,Reading,Year2,0.035671296,59,93,
Classroom14,182c4febaa1048bd9e0c6d6c0fdeb670,M,3,Language Usage,Year2,0.052118056,23,69,
Classroom14,182c4febaa1048bd9e0c6d6c0fdeb670,M,3,Math K-12,Year2,0.90630787,32,57,
Classroom14,182c4febaa1048bd9e0c6d6c0fdeb670,M,3,Reading,Year2,0.036238426,40,68,
Classroom14,5d87ab494fba4ff5b08c89fa86ffedb3,M,3,Language Usage,Year2,0.051782407,40,78,
Classroom14,5d87ab494fba4ff5b08c89fa86ffedb3,M,3,Math K-12,Year2,0.906296296,95,88,
Classroom14,5d87ab494fba4ff5b08c89fa86ffedb3,M,3,Reading,Year2,0.036157407,65,90,
Classroom14,68d32a39ff0f4139b2e3ea6d00b3577d,M,3,Language Usage,Year2,0.051331019,24,26,
Classroom14,68d32a39ff0f4139b2e3ea6d00b3577d,M,3,Math K-12,Year2,0.906412037,32,56,
Classroom14,68d32a39ff0f4139b2e3ea6d00b3577d,M,3,Reading,Year2,0.035856481,34,47,
